index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,,8,,,,3,
3,,4,9,,,3,3,
4,3,5,10,,3,3,3,
5,4,,,,3,,,
6,,,12,,,,3,
7,,8,13,1,,3,3,3
8,7,9,,2,3,3,,3
9,8,10,15,3,3,3,3,3
10,9,,16,4,3,,3,3
11,,12,17,,,3,3,
12,11,,,6,3,,,3
13,,,,7,,,,3
14,,15,20,,,3,3,
15,14,,21,9,3,,3,3
16,,17,22,10,,3,3,3
17,16,,23,11,3,,3,3
18,,,24,,,,3,
19,,20,25,,,3,3,
20,19,,26,14,3,,3,3
21,,22,,15,,3,,3
22,21,,,16,3,,,3
23,,24,,17,,3,,3
24,23,,30,18,3,,3,3
25,,,31,19,,,3,3
26,,27,32,20,,3,3,3
27,26,,,,3,,,
28,,29,,,,3,,
29,28,30,35,,3,3,3,
30,29,,,24,3,,,3
31,,32,37,25,,3,3,3
32,31,33,38,26,3,3,3,3
33,32,34,39,,3,3,3,
34,33,35,40,,3,3,3,
35,34,,41,29,3,,3,3
36,,,42,,,,3,
37,,38,43,31,,3,3,3
38,37,,,32,3,,,3
39,,,,33,,,,3
40,,41,,34,,3,,3
41,40,42,47,35,3,3,3,3
42,41,,48,36,3,,3,3
43,,44,,37,,3,,3
44,43,45,,,3,3,,
45,44,,,,3,,,
46,,47,,,,3,,
47,46,,,41,3,,,3
48,,,,42,,,,3
